fid,name,category,region,province,comuna,comuna_code,address,rut,longitude,latitude,source
219,Sociedad Servicios Y Comercio Valparaiso Limitada,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Errazuriz,,-71.6261111039999,-33.0380553819999,RETC_Valparaiso
220,Comercial Agrosogo Limitada,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Quebrada Verde,,-71.6386111499999,-33.031388735,RETC_Valparaiso
221,Industria De Golosinas Pares Limitada,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,John Kennedy,,-71.5041666719999,-32.9991665539999,RETC_Valparaiso
222,Comercial Mortalena Y Compania Limitada,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Avenida Valparaiso,,-71.5552777269999,-33.023610947,RETC_Valparaiso
223,Supermercados Del Sur Limitada,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Etchevers Alto,,-71.5558333769999,-33.026944296,RETC_Valparaiso
224,Supermercados Del Sur Limitada,Exposición,Región de Valparaíso,Valparaíso,Casablanca,,Portales,,-71.4061110919999,-33.3177776519999,RETC_Valparaiso
225,Marcar Comerc Y Distrib De Combustibles Lub Y Otros Limitada,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Chacabuco,,-71.6055555109999,-33.0455553979999,RETC_Valparaiso
226,Comercial Ralun Limitada,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Av Sta Maria,,-71.6497221739999,-33.0449998539999,RETC_Valparaiso
227,Santa Isabel Administradora Sa,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Villanelo,,-71.5563888339999,-33.0238887019999,RETC_Valparaiso
228,Comercializadora Y Distribuidora America Andina Limitada,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Phillippi,,-71.586944447,-33.0358331499999,RETC_Valparaiso
229,Club Union Espanola,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,A De Ercilla,,-71.5700000229999,-33.0305553699999,RETC_Valparaiso
230,Mutual De Seguridad Camara Chilena De La Construccion,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Limache,,-71.5430555489999,-33.0263886909999,RETC_Valparaiso
231,Asoc Chilena De Seguridad,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Edwards,,-71.6180555139999,-33.0436109619999,RETC_Valparaiso
232,Cooperativa De Agua Potable Santo Domingo Limitada,Exposición,Región de Valparaíso,San Antonio,Santo Domingo,,Griselda,,-71.6269444119999,-33.639999826,RETC_Valparaiso
233,Instituto De Seguridad Del Trabajo,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Alvares,,-71.5524999929999,-33.025555381,RETC_Valparaiso
234,Imprenta De La Armada De Chile,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Antonio Varas,,-71.6286111149999,-33.030277587,RETC_Valparaiso
